builtName             mentions  last_build                live_ok  live_bad  live_unk  partial_n
--------------------  --------  ------------------------  -------  --------  --------  ---------
apex                  4         2026-07-26T18:31:03.326Z  0        4         0         1        
drivethru             3         2026-07-26T19:44:16.914Z  0        3         0         0        
games/edzitronquest   2         2026-07-26T20:40:21.487Z  0        2         0         0        
lasercats             2         2026-07-26T17:28:09.658Z  0        2         0         1        
padmoot               2         2026-07-26T15:51:28.366Z  0        2         0         1        
solvers               2         2026-07-26T20:08:26.346Z  0        2         0         1        
sonnethype            2         2026-07-26T17:34:06.697Z  0        2         0         0        
the-place             2         2026-07-26T15:24:17.462Z  0        2         0         0        
windmill              2         2026-07-26T15:46:35.063Z  0        2         0         1        
bigredbutton          1         2026-07-26T19:40:31.339Z  0        1         0         0        
code-for-airports     1         2026-07-26T16:58:17.562Z  0        1         0         1        
edzitronquest         1         2026-07-26T20:33:15.179Z  0        1         0         0        
fitzcarraldo          4         2026-07-26T13:43:46.209Z  3        1         0         2        
hashdo                1         2026-07-26T13:13:33.912Z  0        1         0         0        
mahjong-solitaire     1         2026-07-25T18:20:30.613Z  0        1         0         0        
mcskeets              1         2026-07-26T16:44:32.459Z  0        1         0         0        
pvnp                  1         2026-07-26T14:25:15.112Z  0        1         0         0        
ratioed               1         2026-07-26T06:47:10.195Z  0        1         0         0        
timeline              1         2026-07-26T21:05:57.444Z  0        1         0         1        
timeline/scene        1         2026-07-26T21:16:45.164Z  0        1         0         0        
wheelhouse            1         2026-07-26T16:01:35.467Z  0        1         0         0        
acausal               2         2026-07-24T18:40:59Z      0        0         2         0        
alignment-chart       3         2026-07-25T17:32:41.172Z  0        0         3         0        
atproideasio          3         2026-07-26T17:45:25.551Z  1        0         2         0        
atproideasio/sliders  1         2026-07-24T18:40:56Z      0        0         1         0        
babel                 1         2026-07-24T23:26:48.541Z  0        0         1         0        
bardposting           1         2026-07-26T18:50:47.479Z  1        0         0         1        
bird-costumes         1         2026-07-24T21:42:56Z      0        0         1         0        
birdflow              1         2026-07-25T13:43:17.494Z  0        0         1         0        
birdflow/posts        1         2026-07-25T16:48:12.529Z  0        0         1         0        
biskshow              1         2026-07-25T15:45:14.193Z  0        0         1         0        
blackice              1         2026-07-25T16:54:41.279Z  0        0         1         0        
